,name,popularity,rating,adjustedrating,ingredientsHashed,ingredients(hashed)
113,Lone Tree Cooler,698,2.843855422623161,1,"1ea570efeed4f2920a78fa1811aa6103 d7ad223a94b1cdb31734ad5fb25df4bd 992830de8ba8b14e8f55ad8fa0d01e53 ac1d732fc1d905ad984d9b04f6a1ad91 de043ea8f7daee76c7790088cccb8353 56331d69d4a076151bd529ed6404f8d2 
",abc
114,Long Island Tea,91300,4.960470777534299,5,"4ca90a18e9f0d1242171c3c66074714b afdffda4e46a14d07503e44bca0f2b48 d7ad223a94b1cdb31734ad5fb25df4bd 2505f2b3f5d789478b6edf49af6a07f7 ff71ff25b2b0033b0d9f68830728b4cc 916a17d53dff7bbd06635fac294e86eb 
",abc
115,Lord And Lady,55100,4.741151598851785,5,"dc3848f85d5402c995be2314782511b0 86def8609dacc58c53029e2cea0a5266 
",abc
116,Mai Tai,3620000,6.558708570533166,8,"afdffda4e46a14d07503e44bca0f2b48 2123a9d686e1274a6973759a708aa5ab cbbf6d5cab373efb5f95205d1b85b1ed 39370980210a916b3af361cda80f2ac8 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
117,Martinez Cocktail,48300,4.683947130751513,5,"d7ad223a94b1cdb31734ad5fb25df4bd 992830de8ba8b14e8f55ad8fa0d01e53 cbbf6d5cab373efb5f95205d1b85b1ed d65338d93defdf77c2bc409247425932 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
118,Martini,5670000,6.753583058892906,9,"d7ad223a94b1cdb31734ad5fb25df4bd 992830de8ba8b14e8f55ad8fa0d01e53 2b8b384cdd92d3e81c43b2d43de8c247 
",abc
119,Midnight Cowboy,102000,5.008600171761918,5,"5b014b2f353c899a48edbb22cf78b17f dc3848f85d5402c995be2314782511b0 84faf42eadc9ca92b9f836bf04ddd2f7 
",abc
120,Mississippi Planters Punch,385,2.5854607295085006,1,"4c532b4eaea99aa1f9c4f0b1898d6fc5 afdffda4e46a14d07503e44bca0f2b48 5b014b2f353c899a48edbb22cf78b17f ff71ff25b2b0033b0d9f68830728b4cc ac1d732fc1d905ad984d9b04f6a1ad91 1ea570efeed4f2920a78fa1811aa6103 
",abc
121,Monkey Wrench,52600,4.720985744153739,5,"afdffda4e46a14d07503e44bca0f2b48 1b895b1423260c61b49d8868ac3077cc 2326d3967f280ca60e01be59c6da01c3 
",abc
122,New York Sour,46700,4.669316880566112,5,"5cbb3871ab023a2971fb397ba92d9672 ff71ff25b2b0033b0d9f68830728b4cc f0dc7a91ef793fd0a59d9568168dec4d 9cb697123668a601f96fa66fa76ef4f3 ff71ff25b2b0033b0d9f68830728b4cc 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
123,Orange Oasis,16000,4.204119982655925,4,"6ac536ae1e7759810e2523864a98ef8a d7ad223a94b1cdb31734ad5fb25df4bd d6dd8769c2796fa05a8e240859bc511d 7d73dc0b6f7aeb20d99293fbdc5d6a6f 
",abc
124,Orgasm,2980000,6.474216264076255,8,"c1ecb10adbf7e5165a24144da26865df bf19a4b5a2a24fe84d8f7052f75db565 cbbf6d5cab373efb5f95205d1b85b1ed 4ca90a18e9f0d1242171c3c66074714b 5e089e4017e8f0c4c07bce7354c8ba43 
",abc
125,Pink Gin,211000,5.324282455297693,6,"2326d3967f280ca60e01be59c6da01c3 d7ad223a94b1cdb31734ad5fb25df4bd 
",abc
126,Pink Lady,4070000,6.60959440922522,8,"d7ad223a94b1cdb31734ad5fb25df4bd 3c497e915478d3ef451265d0a0b72a0b 5e089e4017e8f0c4c07bce7354c8ba43 0950210a45488b218b5ec9387827b69c 
",abc
127,Poppy Cocktail,26900,4.429752280002408,4,"d7ad223a94b1cdb31734ad5fb25df4bd c1ecb10adbf7e5165a24144da26865df 
",abc
128,Port And Starboard,105000,5.021189299069938,5,"3c497e915478d3ef451265d0a0b72a0b 3acf19c6e95442c30b368e5701e7207b 
",abc
129,Port Wine Cocktail,59400,4.7737864449811935,5,"60aaf44d4b562252c04db7f98497e9aa 4c532b4eaea99aa1f9c4f0b1898d6fc5 
",abc
130,Port Wine Flip,2690,3.429752280002408,3,"60aaf44d4b562252c04db7f98497e9aa 5e089e4017e8f0c4c07bce7354c8ba43 ac1d732fc1d905ad984d9b04f6a1ad91 f04ba3c635d301c987d90fc75c71775b 5b5ea2ebaf974c74d74cb80576c5aabb 
",abc
131,Quaker's Cocktail,14000,4.146128035678238,4,"afdffda4e46a14d07503e44bca0f2b48 4c532b4eaea99aa1f9c4f0b1898d6fc5 ff71ff25b2b0033b0d9f68830728b4cc e30d48c22cdc87e1e0158cf79b728b04 
",abc
132,Quarter Deck Cocktail,4530,3.656098202012832,3,"afdffda4e46a14d07503e44bca0f2b48 aacdcaab42f85782dbafce7a5d26b4b1 fc1cebf02dc2ee68655f3e7bf1b84230 
",abc
133,Queen Bee,737000,5.867467487859051,7,"7447b2b2ed8c471c48bfd13959ab714b c9e92f9df06995082f27af89a099efca aacdcaab42f85782dbafce7a5d26b4b1 
",abc
134,Queen Charlotte,73000,4.863322860120456,5,"9cb697123668a601f96fa66fa76ef4f3 3c497e915478d3ef451265d0a0b72a0b 8efadd87194330d2b4a1c5fd08350791 
",abc
135,Queen Elizabeth,5940000,6.7737864449811935,9,"992830de8ba8b14e8f55ad8fa0d01e53 d7ad223a94b1cdb31734ad5fb25df4bd a0e800295b271ae5322b749afef9597e 
",abc
136,Quentin,6910000,6.8394780473741985,9,"dc3848f85d5402c995be2314782511b0 c0bae48e76229e908077947a58f97c92 5e089e4017e8f0c4c07bce7354c8ba43 5b5ea2ebaf974c74d74cb80576c5aabb 
",abc
137,Royal Fizz,15200,4.181843587944773,4,"d7ad223a94b1cdb31734ad5fb25df4bd 39370980210a916b3af361cda80f2ac8 f04ba3c635d301c987d90fc75c71775b 916a17d53dff7bbd06635fac294e86eb 
",abc
138,Royal Gin Fizz,6900,3.838849090737255,3,"d7ad223a94b1cdb31734ad5fb25df4bd ff71ff25b2b0033b0d9f68830728b4cc ac1d732fc1d905ad984d9b04f6a1ad91 f04ba3c635d301c987d90fc75c71775b 1ea570efeed4f2920a78fa1811aa6103 
",abc
139,Rum Cobbler,27800,4.444044795918076,4,"f0dc7a91ef793fd0a59d9568168dec4d 481c5a13509d5511286d01b9fc999e25 ff71ff25b2b0033b0d9f68830728b4cc dc3848f85d5402c995be2314782511b0 048bbe06830c79d2b1a4bbb8aba10293 909cea0c97058cfe2e3ea8d675cb08e1 
",abc
140,Rum Cooler,21200,4.326335860928752,4,"dc3c2630b55fbada1e4a12f97f3f1896 8efadd87194330d2b4a1c5fd08350791 ff71ff25b2b0033b0d9f68830728b4cc 
",abc
141,Rum Milk Punch,12700,4.103803720955957,4,"afdffda4e46a14d07503e44bca0f2b48 e89b2cbb7d11825a67459af2249064de ac1d732fc1d905ad984d9b04f6a1ad91 5b5ea2ebaf974c74d74cb80576c5aabb 
",abc
142,Rum Old-fashioned,36700,4.56466606425209,5,"afdffda4e46a14d07503e44bca0f2b48 dda55f8a5313dd7f87e6f856b2f7b338 ac1d732fc1d905ad984d9b04f6a1ad91 2326d3967f280ca60e01be59c6da01c3 27634ff8002b12e75d98e07ccd005d18 c17d4886e14147616147c0092d7f267f 
",abc
143,Rum Screwdriver,11700,4.068185861746161,4,"afdffda4e46a14d07503e44bca0f2b48 d6dd8769c2796fa05a8e240859bc511d 
",abc
144,Rum Sour,56700,4.753583058892906,5,"afdffda4e46a14d07503e44bca0f2b48 c3e200cab562ee5bfa3c3ade2a3f5d8c f0dc7a91ef793fd0a59d9568168dec4d 909cea0c97058cfe2e3ea8d675cb08e1 048bbe06830c79d2b1a4bbb8aba10293 
",abc
145,Rum Toddy,18200,4.260071387985075,4,"dc3c2630b55fbada1e4a12f97f3f1896 ac1d732fc1d905ad984d9b04f6a1ad91 56331d69d4a076151bd529ed6404f8d2 27634ff8002b12e75d98e07ccd005d18 
",abc
146,Rusty Nail,1390000,6.143014800254095,8,"6f6933a566a195007a6f1b5784dc3e5b 98150e14e96c016533cdf9a8e94481c2 56331d69d4a076151bd529ed6404f8d2 
",abc
147,Salty Dog,640000,5.8061799739838875,7,"1b895b1423260c61b49d8868ac3077cc d7ad223a94b1cdb31734ad5fb25df4bd af334c7b6ef89b42a94f7932a1ee9ffe 
",abc
148,Sazerac,1130000,6.05307844348342,7,"709d6c39cf62a3cf516d08192d647879 f0dc7a91ef793fd0a59d9568168dec4d 3f16d724109198b74f62e0454760b4a7 27634ff8002b12e75d98e07ccd005d18 5b014b2f353c899a48edbb22cf78b17f 56331d69d4a076151bd529ed6404f8d2 
",abc
149,Scooter,6760000,6.8299466959416355,9,"4c532b4eaea99aa1f9c4f0b1898d6fc5 bf19a4b5a2a24fe84d8f7052f75db565 5e089e4017e8f0c4c07bce7354c8ba43 
",abc
150,Scotch Cobbler,4820,3.6830470382388496,3,"6f6933a566a195007a6f1b5784dc3e5b 4c532b4eaea99aa1f9c4f0b1898d6fc5 0d2268d462cd08b20b7508c3fc0fde5e 909cea0c97058cfe2e3ea8d675cb08e1 ca8a196f97a48b2bb489f3e849a68418 
",abc
151,Scotch Sour,47500,4.676693609624866,5,"6f6933a566a195007a6f1b5784dc3e5b fc1cebf02dc2ee68655f3e7bf1b84230 ac1d732fc1d905ad984d9b04f6a1ad91 ff71ff25b2b0033b0d9f68830728b4cc 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
152,Screwdriver,1250000,6.096910013008056,7,"4ca90a18e9f0d1242171c3c66074714b d6dd8769c2796fa05a8e240859bc511d 
",abc
153,Shanghai Cocktail,27900,4.445604203273597,4,"afdffda4e46a14d07503e44bca0f2b48 34986c09abfcc53abb1ac4314a31075e 3c497e915478d3ef451265d0a0b72a0b ff71ff25b2b0033b0d9f68830728b4cc 
",abc
154,Sherry Eggnog,5170,3.7134905430939424,3,"aacdcaab42f85782dbafce7a5d26b4b1 ac1d732fc1d905ad984d9b04f6a1ad91 f04ba3c635d301c987d90fc75c71775b e89b2cbb7d11825a67459af2249064de 5b5ea2ebaf974c74d74cb80576c5aabb 
",abc
155,Sherry Flip,28100,4.44870631990508,4,"aacdcaab42f85782dbafce7a5d26b4b1 5e089e4017e8f0c4c07bce7354c8ba43 ac1d732fc1d905ad984d9b04f6a1ad91 f04ba3c635d301c987d90fc75c71775b 5b5ea2ebaf974c74d74cb80576c5aabb 
",abc
156,Sidecar,952000,5.978636948384474,7,"e301d4839154bbf266d3362c898a3e4e e86759bc4b09b555a86d5cf49c538e58 c3e200cab562ee5bfa3c3ade2a3f5d8c 
",abc
157,Sidecar Cocktail,19500,4.290034611362518,4,"4c532b4eaea99aa1f9c4f0b1898d6fc5 cbbf6d5cab373efb5f95205d1b85b1ed ff71ff25b2b0033b0d9f68830728b4cc 
",abc
158,Singapore Sling,930000,5.968482948553935,7,"6ac536ae1e7759810e2523864a98ef8a 3c497e915478d3ef451265d0a0b72a0b d7ad223a94b1cdb31734ad5fb25df4bd 39370980210a916b3af361cda80f2ac8 1ea570efeed4f2920a78fa1811aa6103 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
159,Sloe Gin Cocktail,61900,4.791690649020118,5,"65a2beb8c3fc4d253b1b83c04f8a6f78 992830de8ba8b14e8f55ad8fa0d01e53 d65338d93defdf77c2bc409247425932 
",abc
160,Sol Y Sombra,42100,4.624282095835668,5,"4c532b4eaea99aa1f9c4f0b1898d6fc5 34986c09abfcc53abb1ac4314a31075e 
",abc
161,Stone Sour,95400,4.979548374704095,5,"d69d5873205810e716bf15acfa81a8b4 d6dd8769c2796fa05a8e240859bc511d 39370980210a916b3af361cda80f2ac8 
",abc
162,Strawberry Daiquiri,782000,5.893206753059848,7,"b826caf7ad2b07bd8b219760897b476f afdffda4e46a14d07503e44bca0f2b48 58e12a94a9477dc279adaafff8604d1c ac1d732fc1d905ad984d9b04f6a1ad91 97a89830e8903a601a9b3649e41b3358 
",abc
163,Strawberry Margarita,768000,5.885361220031512,7,"b826caf7ad2b07bd8b219760897b476f 2505f2b3f5d789478b6edf49af6a07f7 cbbf6d5cab373efb5f95205d1b85b1ed c3e200cab562ee5bfa3c3ade2a3f5d8c 97a89830e8903a601a9b3649e41b3358 af334c7b6ef89b42a94f7932a1ee9ffe 
",abc
164,Tequila Fizz,4020,3.60422605308447,3,"2505f2b3f5d789478b6edf49af6a07f7 c3e200cab562ee5bfa3c3ade2a3f5d8c 3c497e915478d3ef451265d0a0b72a0b 0950210a45488b218b5ec9387827b69c 7d73dc0b6f7aeb20d99293fbdc5d6a6f 
",abc
165,Tequila Sour,32200,4.507855871695831,5,"2505f2b3f5d789478b6edf49af6a07f7 ff71ff25b2b0033b0d9f68830728b4cc ac1d732fc1d905ad984d9b04f6a1ad91 ff71ff25b2b0033b0d9f68830728b4cc 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
166,Thriller,3270000,6.514547752660286,8,"6f6933a566a195007a6f1b5784dc3e5b b9eadba3c35f7f89e93c92eb2c8d39b0 d6dd8769c2796fa05a8e240859bc511d 
",abc
167,Tom Collins,701000,5.845718017966659,7,"d7ad223a94b1cdb31734ad5fb25df4bd c3e200cab562ee5bfa3c3ade2a3f5d8c f0dc7a91ef793fd0a59d9568168dec4d 481c5a13509d5511286d01b9fc999e25 048bbe06830c79d2b1a4bbb8aba10293 909cea0c97058cfe2e3ea8d675cb08e1 
",abc
168,Turf Cocktail,15200,4.181843587944773,4,"992830de8ba8b14e8f55ad8fa0d01e53 d7ad223a94b1cdb31734ad5fb25df4bd c7e4922e65e8371d3eec31dfa660f65a 2326d3967f280ca60e01be59c6da01c3 51d228b346684561b4e133f6cbd7a226 
",abc
169,Tuxedo Cocktail,25800,4.41161970596323,4,"992830de8ba8b14e8f55ad8fa0d01e53 d7ad223a94b1cdb31734ad5fb25df4bd fd7f75775ac686f5e5ad3d77a5460c0a c7e4922e65e8371d3eec31dfa660f65a d65338d93defdf77c2bc409247425932 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
170,Valencia Cocktail,11000,4.041392685158225,4,"d69d5873205810e716bf15acfa81a8b4 d6dd8769c2796fa05a8e240859bc511d d65338d93defdf77c2bc409247425932 
",abc
171,Van Vleet,8870,3.9479236198317262,4,"afdffda4e46a14d07503e44bca0f2b48 083dc65a93d9c90a74a0409343ff4422 c3e200cab562ee5bfa3c3ade2a3f5d8c 
",abc
172,Vermouth Cassis,10400,4.017033339298781,4,"992830de8ba8b14e8f55ad8fa0d01e53 150db56cbf2f25a3eccf75a85e0bfc6b 1ea570efeed4f2920a78fa1811aa6103 
",abc
173,Vesuvio,207000,5.315970345456917,6,"afdffda4e46a14d07503e44bca0f2b48 74751ead02cd317f21763850048f9ca5 ff71ff25b2b0033b0d9f68830728b4cc ac1d732fc1d905ad984d9b04f6a1ad91 0950210a45488b218b5ec9387827b69c 
",abc
174,Veteran,7780000,6.8909795969896885,9,"dc3848f85d5402c995be2314782511b0 6ac536ae1e7759810e2523864a98ef8a 
",abc
175,Victor,16300000,7.212187604403958,10,"d7ad223a94b1cdb31734ad5fb25df4bd 74751ead02cd317f21763850048f9ca5 4c532b4eaea99aa1f9c4f0b1898d6fc5 
",abc
176,Victory Collins,569,2.7551122663950713,1,"4ca90a18e9f0d1242171c3c66074714b c3e200cab562ee5bfa3c3ade2a3f5d8c 9f7a5607985b6cbcca280ecf4941d26f ac1d732fc1d905ad984d9b04f6a1ad91 909cea0c97058cfe2e3ea8d675cb08e1 
",abc
177,Vodka And Tonic,1960000,6.292256071356476,8,"4ca90a18e9f0d1242171c3c66074714b c34aa328cd98ab5e3e8faeda8737a957 
",abc
178,Waikiki Beachcomber,13900,4.143014800254095,4,"cbbf6d5cab373efb5f95205d1b85b1ed d7ad223a94b1cdb31734ad5fb25df4bd 2f2c7d452dc57db7c574ae0229ab3df3 
",abc
179,Whiskey Sour,253000,5.4031205211758175,6,"5cbb3871ab023a2971fb397ba92d9672 ff71ff25b2b0033b0d9f68830728b4cc ac1d732fc1d905ad984d9b04f6a1ad91 7b75d91d2856e9e74fe7cfbb857dcf2f ff71ff25b2b0033b0d9f68830728b4cc 
",abc
180,Whisky Mac,5160,3.7126497016272113,3,"6f6933a566a195007a6f1b5784dc3e5b b9eadba3c35f7f89e93c92eb2c8d39b0 
",abc
181,White Russian,777000,5.8904210188009145,7,"4ca90a18e9f0d1242171c3c66074714b c9a9f9e06e89995f568272dfe6aeb02d 5e089e4017e8f0c4c07bce7354c8ba43 
",abc
182,Afterglow,2100000,6.3222192947339195,8,"3c497e915478d3ef451265d0a0b72a0b d6dd8769c2796fa05a8e240859bc511d 2f2c7d452dc57db7c574ae0229ab3df3 
",abc
183,Alice Cocktail,22800,4.357934847000454,4,"3c497e915478d3ef451265d0a0b72a0b d6dd8769c2796fa05a8e240859bc511d 2f2c7d452dc57db7c574ae0229ab3df3 df772146f2037081819360e9fbdf519b 
",abc
184,Apple Karate,2640,3.4216039268698313,3,"e5461ecceaa115c0396547c143e0d9f8 1ed10d1bb14ff1b1bf02aad5a5cdb052 
",abc
185,Bora Bora,1300000,6.113943352306837,7,"2f2c7d452dc57db7c574ae0229ab3df3 ef38ba2edcbb638014729ec5bd336497 c3e200cab562ee5bfa3c3ade2a3f5d8c 3c497e915478d3ef451265d0a0b72a0b 
",abc
186,Orangeade,89200,4.950364854376123,5,"c3e200cab562ee5bfa3c3ade2a3f5d8c d6dd8769c2796fa05a8e240859bc511d 9d3bce8eb5cec78e54d36dd0daf2bdc5 06fbd6101341fcfb530263a3120e9e6f 
",abc
187,Rail Splitter,29700,4.472756449317212,4,"9d3bce8eb5cec78e54d36dd0daf2bdc5 c3e200cab562ee5bfa3c3ade2a3f5d8c 7d73dc0b6f7aeb20d99293fbdc5d6a6f 
",abc
188,Banana Milk Shake,70100,4.845718017966659,5,"e89b2cbb7d11825a67459af2249064de d6dd8769c2796fa05a8e240859bc511d 9d3bce8eb5cec78e54d36dd0daf2bdc5 e6f9c347672daae5a2557ae118f44a1e 
",abc
189,Banana Strawberry Shake,27300,4.4361626470407565,4,"97a89830e8903a601a9b3649e41b3358 e6f9c347672daae5a2557ae118f44a1e 6481b9d8e31a85125213ffd371c8b94c e89b2cbb7d11825a67459af2249064de 8dc0611245a871ac51bbeebb85f33a58 
",abc
190,Banana Strawberry Shake Daiquiri-type,110,2.041392685158225,0,"97a89830e8903a601a9b3649e41b3358 e6f9c347672daae5a2557ae118f44a1e e5461ecceaa115c0396547c143e0d9f8 
",abc
191,Egg Cream,131000,5.117271295655764,6,"411689cb0aedd1f7ad24e3f856d62081 e89b2cbb7d11825a67459af2249064de 06fbd6101341fcfb530263a3120e9e6f 
",abc
192,Fruit Cooler,17300,4.238046103128795,4,"e5461ecceaa115c0396547c143e0d9f8 97a89830e8903a601a9b3649e41b3358 f0dc7a91ef793fd0a59d9568168dec4d ff71ff25b2b0033b0d9f68830728b4cc 9f6290f4436e5a2351f12e03b6433c3c 06fbd6101341fcfb530263a3120e9e6f 583d6a9fe10d672474e2cdca476113b7 
",abc
193,Fruit Flip-Flop,1030,3.012837224705172,2,"6481b9d8e31a85125213ffd371c8b94c b44ea2f22d68433461d892e74516a322 
",abc
194,Fruit Shake,52700,4.721810615212546,5,"6481b9d8e31a85125213ffd371c8b94c e6f9c347672daae5a2557ae118f44a1e d6dd8769c2796fa05a8e240859bc511d 3b26194b13edb91ea719ef5cbee8d5bd 583d6a9fe10d672474e2cdca476113b7 
",abc
195,Just a Moonmint,312,2.494154594018443,1,"e89b2cbb7d11825a67459af2249064de 411689cb0aedd1f7ad24e3f856d62081 04f67c3630ac15cf2b0544b9fb1a60c7 
",abc
196,Lassi - A South Indian Drink,317,2.5010592622177517,1,"6481b9d8e31a85125213ffd371c8b94c 27634ff8002b12e75d98e07ccd005d18 61edb762cdd4c6d6b11d61a48a462c90 af334c7b6ef89b42a94f7932a1ee9ffe ca8a196f97a48b2bb489f3e849a68418 
",abc
197,Lassi Khara,263,2.419955748489758,1,"6481b9d8e31a85125213ffd371c8b94c 27634ff8002b12e75d98e07ccd005d18 af334c7b6ef89b42a94f7932a1ee9ffe 58f5568a1af9a60ae944a90892b8ce24 
",abc
198,Lassi Raita,1670,3.2227164711475833,2,"6481b9d8e31a85125213ffd371c8b94c 583d6a9fe10d672474e2cdca476113b7 f0dc7a91ef793fd0a59d9568168dec4d fc1cebf02dc2ee68655f3e7bf1b84230 af334c7b6ef89b42a94f7932a1ee9ffe 
",abc
199,Lassi - Sweet,29500,4.469822015978163,4,"6481b9d8e31a85125213ffd371c8b94c 27634ff8002b12e75d98e07ccd005d18 f0dc7a91ef793fd0a59d9568168dec4d af334c7b6ef89b42a94f7932a1ee9ffe c3e200cab562ee5bfa3c3ade2a3f5d8c 
",abc
200,Lassi - Mango,20900,4.320146286111054,4,"95f8c2da33b8930f8d6fee0d524c0817 6481b9d8e31a85125213ffd371c8b94c f0dc7a91ef793fd0a59d9568168dec4d 27634ff8002b12e75d98e07ccd005d18 
",abc
201,Lemouroudji,228,2.357934847000454,1,"63e3363dabd9fb306c357d01617c0e57 27634ff8002b12e75d98e07ccd005d18 ff71ff25b2b0033b0d9f68830728b4cc f0dc7a91ef793fd0a59d9568168dec4d 613da22976aa460fdbdf1cd7e46e8769 
",abc
202,Limeade,2870000,6.457881896733992,8,"fc1cebf02dc2ee68655f3e7bf1b84230 f0dc7a91ef793fd0a59d9568168dec4d 06fbd6101341fcfb530263a3120e9e6f c17d4886e14147616147c0092d7f267f 
",abc
203,Imperial Cocktail,8110,3.909020854211156,3,"58e12a94a9477dc279adaafff8604d1c d7ad223a94b1cdb31734ad5fb25df4bd 0394b39f9a22a042c7243f6e3c4bc0ea 
",abc
204,Banana Cantaloupe Smoothie,21000,4.3222192947339195,4,"1dd3beb4eed4b1bab9f41ab76045de31 e6f9c347672daae5a2557ae118f44a1e 
",abc
205,Apple Berry Smoothie,8340,3.921166050637739,3,"c89f71156fb3b129973d288f48c1a0a2 9f6290f4436e5a2351f12e03b6433c3c 
",abc
206,Grape lemon pineapple Smoothie,3220,3.507855871695831,3,"af9d7c5a9abb28d05ac503a846ab3d3a ff71ff25b2b0033b0d9f68830728b4cc 7855cca1372aed929a9ae2afb1011134 
",abc
207,Kiwi Papaya Smoothie,8400,3.9242792860618816,3,"b6ef9705b1e58b643edc23e7f81318ed 6098d1c09959f79be4b387f68f7ce0bd 
",abc
208,Mango Orange Smoothie,118000,5.071882007306125,6,"95f8c2da33b8930f8d6fee0d524c0817 909cea0c97058cfe2e3ea8d675cb08e1 
",abc
209,Pineapple Gingerale Smoothie,3050,3.484299839346786,3,"63e3363dabd9fb306c357d01617c0e57 7855cca1372aed929a9ae2afb1011134 
",abc
210,Kill the cold Smoothie,5100,3.7075701760979363,3,"63e3363dabd9fb306c357d01617c0e57 ff71ff25b2b0033b0d9f68830728b4cc 27634ff8002b12e75d98e07ccd005d18 
",abc
211,Strawberry Shivers,108,2.03342375548695,0,"97a89830e8903a601a9b3649e41b3358 8dc0611245a871ac51bbeebb85f33a58 27634ff8002b12e75d98e07ccd005d18 
",abc
212,Sweet Bananas,26100,4.416640507338281,4,"e89b2cbb7d11825a67459af2249064de e6f9c347672daae5a2557ae118f44a1e 8dc0611245a871ac51bbeebb85f33a58 
",abc
213,Tomato Tang,44800,4.6512780139981444,5,"3eadbad03169136f242eb85528547b3a c3e200cab562ee5bfa3c3ade2a3f5d8c c4988e66c1f004b7e25eb765e1bc1541 
",abc
214,Yoghurt Cooler,3130,3.4955443375464483,3,"6481b9d8e31a85125213ffd371c8b94c 3b26194b13edb91ea719ef5cbee8d5bd 583d6a9fe10d672474e2cdca476113b7 
",abc
215,Castillian Hot Chocolate,551,2.741151598851785,1,"4fa15b70570993ab85a7d936355d639a f0dc7a91ef793fd0a59d9568168dec4d 2033893ec291e0e503d80d91a9052e59 27634ff8002b12e75d98e07ccd005d18 e89b2cbb7d11825a67459af2249064de 
",abc
216,Chocolate Beverage,34500,4.537819095073274,5,"e89b2cbb7d11825a67459af2249064de 6ea408ea56e8b710aa240004af7580c1 fb4c74d473f876067270dc59d7d799e9 f04ba3c635d301c987d90fc75c71775b 
",abc
217,Chocolate Drink,560000,5.748188027006201,7,"6ea408ea56e8b710aa240004af7580c1 e89b2cbb7d11825a67459af2249064de 27634ff8002b12e75d98e07ccd005d18 
",abc
218,Drinking Chocolate,137000,5.136720567156407,6,"84faf42eadc9ca92b9f836bf04ddd2f7 e89b2cbb7d11825a67459af2249064de fb4c74d473f876067270dc59d7d799e9 7d3cf600bf044a1aaf9324807bd8d13e 6ea408ea56e8b710aa240004af7580c1 2f2e4218a9d7d64cdd64141326aff0dc 
",abc
219,Hot Chocolate to Die for,77800,4.8909795969896885,5,"6ea408ea56e8b710aa240004af7580c1 e5961b0baa369b1c565601db04d82c3c a261109162945d824054ab206c6455e4 050d282587cfe48fa1a4e167869c0a5d d0430c7a83df3b37b26c09a66159f464 
",abc
220,Microwave Hot Cocoa,23800,4.376576957056512,4,"f0dc7a91ef793fd0a59d9568168dec4d 4fa15b70570993ab85a7d936355d639a af334c7b6ef89b42a94f7932a1ee9ffe 27634ff8002b12e75d98e07ccd005d18 e89b2cbb7d11825a67459af2249064de a261109162945d824054ab206c6455e4 
",abc
221,Nuked Hot Chocolate,176,2.24551266781415,0,"4fa15b70570993ab85a7d936355d639a f0dc7a91ef793fd0a59d9568168dec4d a261109162945d824054ab206c6455e4 e89b2cbb7d11825a67459af2249064de 
",abc
222,Orange Scented Hot Chocolate,898,2.9532763366673045,2,"e89b2cbb7d11825a67459af2249064de 6ea408ea56e8b710aa240004af7580c1 51d228b346684561b4e133f6cbd7a226 8d471cef54bac1226d079347b4d9dd63 5b5ea2ebaf974c74d74cb80576c5aabb 
",abc
223,Spanish chocolate,19400,4.2878017299302265,4,"e89b2cbb7d11825a67459af2249064de 6ea408ea56e8b710aa240004af7580c1 fb4c74d473f876067270dc59d7d799e9 3f3e574c181f45eea2aa2548e75f4434 
",abc
224,Lemon Shot,9710,3.9872192299080047,4,"21ede24ed5a905238688922e8dd9c061 2399edca09e5ebb1e34ecdff382833df ff71ff25b2b0033b0d9f68830728b4cc f0dc7a91ef793fd0a59d9568168dec4d dda55f8a5313dd7f87e6f856b2f7b338 
",abc
225,Sex on the Beach,8540000,6.931457870689005,9,"4ca90a18e9f0d1242171c3c66074714b dbf4a9adfb1661ac826b3aa014435bc9 c38cf33202b2c51ebc7699c589e08905 1b895b1423260c61b49d8868ac3077cc 
",abc
226,Autodafe,9500,3.9777236052888476,4,"4ca90a18e9f0d1242171c3c66074714b 58e12a94a9477dc279adaafff8604d1c 06fbd6101341fcfb530263a3120e9e6f 
",abc
227,Gagliardo,39000,4.5910646070264995,5,"de7fdb22b5a30a9b4a2a800f6c89f9f0 c3e200cab562ee5bfa3c3ade2a3f5d8c 21ede24ed5a905238688922e8dd9c061 e32c5b7997159e3edf50d51ecb87359e 
",abc
228,Surf City Lifesaver,189,2.2764618041732443,0,"c75125147a0bc2abcfffe540136a823a 251fd9ad8e5c1539a8973b2749044689 d7ad223a94b1cdb31734ad5fb25df4bd 06503126e65c73d30801475c67dd84da 
",abc
229,Grizzly Bear,344000,5.53655844257153,6,"bf19a4b5a2a24fe84d8f7052f75db565 4ddb50d7eb1ace456a572fd33a031c76 c0bae48e76229e908077947a58f97c92 e89b2cbb7d11825a67459af2249064de 
",abc
230,Karsk,15400,4.187520720836463,4,"3c09b8d09553786b799e02306e55c7ba 553d1597ccf97aa4ca915ae7f042cb72 
",abc
231,Happy Skipper,5280,3.722633922533812,3,"ef9505ab1833275812c147a0f0d7d8f9 7d73dc0b6f7aeb20d99293fbdc5d6a6f fc1cebf02dc2ee68655f3e7bf1b84230 583d6a9fe10d672474e2cdca476113b7 
",abc
