,name,popularity,rating,adjustedrating,ingredientsHashed,ingredients(hashed)
29,Apricot Lady,14300,4.155336037465061,4,"afdffda4e46a14d07503e44bca0f2b48 d69d5873205810e716bf15acfa81a8b4 cbbf6d5cab373efb5f95205d1b85b1ed c3e200cab562ee5bfa3c3ade2a3f5d8c 0950210a45488b218b5ec9387827b69c 909cea0c97058cfe2e3ea8d675cb08e1 
",abc
30,Archbishop,247000,5.392696953259666,6,"d7ad223a94b1cdb31734ad5fb25df4bd b9eadba3c35f7f89e93c92eb2c8d39b0 a0e800295b271ae5322b749afef9597e fc1cebf02dc2ee68655f3e7bf1b84230 
",abc
31,Arise My Love,9960,3.998259338423699,4,"89b49e95b5604105c04f218f3e560380 3acf19c6e95442c30b368e5701e7207b 
",abc
32,Arthur Tompkins,1960,3.292256071356476,2,"d7ad223a94b1cdb31734ad5fb25df4bd 06503126e65c73d30801475c67dd84da c3e200cab562ee5bfa3c3ade2a3f5d8c 56331d69d4a076151bd529ed6404f8d2 
",abc
33,Artillery,837000,5.92272545799326,7,"74751ead02cd317f21763850048f9ca5 d7ad223a94b1cdb31734ad5fb25df4bd 2326d3967f280ca60e01be59c6da01c3 
",abc
34,Balmoral,719000,5.8567288903828825,7,"6f6933a566a195007a6f1b5784dc3e5b 74751ead02cd317f21763850048f9ca5 992830de8ba8b14e8f55ad8fa0d01e53 2326d3967f280ca60e01be59c6da01c3 
",abc
35,Banana Daiquiri,67900,4.831869774280501,5,"afdffda4e46a14d07503e44bca0f2b48 cbbf6d5cab373efb5f95205d1b85b1ed e6f9c347672daae5a2557ae118f44a1e 58e12a94a9477dc279adaafff8604d1c f0dc7a91ef793fd0a59d9568168dec4d 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
36,Bermuda Highball,5790,3.762678563727436,3,"4c532b4eaea99aa1f9c4f0b1898d6fc5 d7ad223a94b1cdb31734ad5fb25df4bd 992830de8ba8b14e8f55ad8fa0d01e53 1ea570efeed4f2920a78fa1811aa6103 56331d69d4a076151bd529ed6404f8d2 
",abc
37,Black Russian,1870000,6.271841606536499,8,"c9a9f9e06e89995f568272dfe6aeb02d 4ca90a18e9f0d1242171c3c66074714b 
",abc
38,Blackthorn,181000,5.2576785748691846,6,"74751ead02cd317f21763850048f9ca5 65a2beb8c3fc4d253b1b83c04f8a6f78 56331d69d4a076151bd529ed6404f8d2 
",abc
39,Bloody Maria,395000,5.596597095626461,7,"2505f2b3f5d789478b6edf49af6a07f7 3eadbad03169136f242eb85528547b3a c3e200cab562ee5bfa3c3ade2a3f5d8c 1b33d4f40668ed00280081fb4ed0f783 c4988e66c1f004b7e25eb765e1bc1541 ff71ff25b2b0033b0d9f68830728b4cc 
",abc
40,Bloody Mary,6120000,6.786751422145561,9,"4ca90a18e9f0d1242171c3c66074714b 3eadbad03169136f242eb85528547b3a c3e200cab562ee5bfa3c3ade2a3f5d8c 874b1038148459f70360fe4f7b0b89de 1b33d4f40668ed00280081fb4ed0f783 fc1cebf02dc2ee68655f3e7bf1b84230 
",abc
41,Blue Lagoon,5000000,6.698970004336019,9,"4ca90a18e9f0d1242171c3c66074714b f1a5d44507ece41448b23f1edf556b37 68c2ed4b4a01c980421f0b83a4876ebc 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
42,Blue Margarita,165000,5.217483944213907,6,"2505f2b3f5d789478b6edf49af6a07f7 f1a5d44507ece41448b23f1edf556b37 58e12a94a9477dc279adaafff8604d1c af334c7b6ef89b42a94f7932a1ee9ffe 
",abc
