cocktail, vector
[{'name': 'Light rum', 'measure': '2 oz'}, {'name': 'Ginger beer', 'measure': '4 oz'}, {'name': 'Lemon peel', 'measure': '1 twist of'}], 0
[{'name': 'Light rum', 'measure': '1 oz'}, {'name': 'Añejo rum', 'measure': '1 oz'}, {'name': 'Orange juice', 'measure': '1 oz'}, {'name': 'Lemon juice', 'measure': '1/2 oz'}, {'name': 'Ginger ale', 'measure': '3 oz'}, {'name': 'Lemon peel', 'measure': '1 twist of'}], 1
[{'name': 'Applejack', 'measure': '1 1/2 oz'}, {'name': 'Grapefruit juice', 'measure': '1 oz'}], 2
[{'name': 'Gin', 'measure': '1 1/2 oz'}, {'name': 'Orange bitters', 'measure': '1 dash'}, {'name': 'Orange', 'measure': 'Juice of 1/4'}, {'name': 'Cherry', 'measure': '1'}], 3
[{'name': 'Dark rum', 'measure': '1 1/2 oz'}, {'name': 'Peach nectar', 'measure': '2 oz'}, {'name': 'Orange juice', 'measure': '3 oz'}], 4
[{'name': 'Light rum', 'measure': '1 1/2 oz'}, {'name': 'Triple sec', 'measure': '1 1/2 tsp'}, {'name': 'Lime juice', 'measure': '1 tblsp'}, {'name': 'Sugar', 'measure': '1 tsp'}, {'name': 'Egg white', 'measure': '1'}, {'name': 'Mint', 'measure': '1'}], 5
[{'name': 'Dark rum', 'measure': '2 oz'}, {'name': 'Lemon juice', 'measure': '1 oz'}, {'name': 'Grenadine', 'measure': '1 tsp'}], 6
[{'name': 'Sweet Vermouth', 'measure': '3/4 oz'}, {'name': 'Sherry', 'measure': '1 1/2 oz dry'}, {'name': 'Orange bitters', 'measure': '1 dash'}], 7
[{'name': 'Strawberry schnapps', 'measure': '2 oz'}, {'name': 'Orange juice', 'measure': '2 oz'}, {'name': 'Cranberry juice', 'measure': '2 oz'}, {'name': 'Club soda', 'measure': ''}], 8
[{'name': 'Scotch', 'measure': '1 1/2 oz'}, {'name': 'Sweet Vermouth', 'measure': '1 oz'}, {'name': 'Dry Vermouth', 'measure': '1 oz'}, {'name': 'Orange bitters', 'measure': '2 dashes'}], 9
[{'name': 'Apricot brandy', 'measure': '1 oz'}, {'name': 'Triple sec', 'measure': '1 oz'}, {'name': 'Lime', 'measure': 'Juice of 1'}, {'name': 'Lime', 'measure': '1'}], 10
[{'name': 'Triple sec', 'measure': '1 oz'}, {'name': 'Apricot brandy', 'measure': '1 oz'}, {'name': 'Lemon juice', 'measure': '1/2 tsp'}], 11
[{'name': 'Southern Comfort', 'measure': '1 oz'}, {'name': 'Amaretto', 'measure': '1 oz'}, {'name': 'Sloe gin', 'measure': '1/2 oz'}, {'name': 'Lemon juice', 'measure': '1 dash'}], 12
[{'name': 'Orange bitters', 'measure': '2 dashes'}, {'name': 'Gin', 'measure': '1 1/2 oz'}, {'name': 'Yellow Chartreuse', 'measure': '3/4 oz'}, {'name': 'Lemon peel', 'measure': 'Twist of'}], 13
[{'name': 'Gin', 'measure': '1/2 oz'}, {'name': 'Creme de Cacao', 'measure': '1/2 oz white'}, {'name': 'Light cream', 'measure': '2 oz'}, {'name': 'Nutmeg', 'measure': None}], 14
[{'name': 'Brandy', 'measure': '1 oz'}, {'name': 'Creme de Cacao', 'measure': '1 oz white'}, {'name': 'Light cream', 'measure': '1 oz'}, {'name': 'Nutmeg', 'measure': ''}], 15
[{'name': 'Lemon vodka', 'measure': '1 1/2 oz'}, {'name': 'Triple sec', 'measure': '1 dash'}, {'name': 'Pineapple juice', 'measure': '1 tblsp'}], 16
[{'name': 'Blended whiskey', 'measure': '1 1/2 oz'}, {'name': 'Dry Vermouth', 'measure': '1 oz'}, {'name': 'Pineapple juice', 'measure': '1 oz'}], 17
[{'name': 'Dry Vermouth', 'measure': '1 oz'}, {'name': 'Bourbon', 'measure': '1 oz'}, {'name': 'Blackberry brandy', 'measure': '1 1/2 tsp'}, {'name': 'Lemon juice', 'measure': '1 1/2 tsp'}, {'name': 'Lemon peel', 'measure': '1 twist of'}], 18
[{'name': 'Dry Vermouth', 'measure': '1 oz'}, {'name': 'Gin', 'measure': '1 oz'}, {'name': 'Kummel', 'measure': '1/2 tsp'}], 19
[{'name': 'Dark rum', 'measure': '2 oz'}, {'name': 'Kahlua', 'measure': '1 oz'}, {'name': 'Egg white', 'measure': '1'}], 20
[{'name': 'Amaretto', 'measure': '1/2 oz'}, {'name': 'Creme de Cacao', 'measure': '1/2 oz white'}, {'name': 'Light cream', 'measure': '2 oz'}], 21
[{'name': 'Amaretto', 'measure': '1 1/2 oz'}, {'name': 'Light cream', 'measure': '1 1/2 oz'}], 22
[{'name': 'Amaretto', 'measure': '1 1/2 oz'}, {'name': 'Lime', 'measure': '1'}], 23
[{'name': 'Amaretto', 'measure': '1 1/2 oz'}, {'name': 'Lime juice', 'measure': '1/2 oz'}, {'name': 'Club soda', 'measure': ''}], 24
[{'name': 'Amaretto', 'measure': '1 1/2 oz'}, {'name': 'White Creme de Menthe', 'measure': '3/4 oz'}], 25
[{'name': 'Tea', 'measure': '6 oz hot'}, {'name': 'Amaretto', 'measure': '2 oz'}, {'name': 'Whipped cream', 'measure': 'Chilled'}], 26
[{'name': 'Apricot brandy', 'measure': '1/2 oz'}, {'name': 'Apple brandy', 'measure': '1/2 oz'}, {'name': 'Gin', 'measure': '1 oz'}], 27
[{'name': 'Applejack', 'measure': '1 oz'}, {'name': 'Triple sec', 'measure': '1 oz'}, {'name': 'Lemon juice', 'measure': '1 oz'}], 28
[{'name': 'Light rum', 'measure': '1 1/2 oz'}, {'name': 'Apricot brandy', 'measure': '1 oz'}, {'name': 'Triple sec', 'measure': '1 tsp'}, {'name': 'Lemon juice', 'measure': '1/2 oz'}, {'name': 'Egg white', 'measure': '1'}, {'name': 'Orange', 'measure': '1'}], 29
[{'name': 'Gin', 'measure': '2 oz'}, {'name': 'Wine', 'measure': '1 oz Green Ginger'}, {'name': 'Benedictine', 'measure': '1 tsp'}, {'name': 'Lime', 'measure': '1'}], 30
[{'name': 'Champagne', 'measure': 'Chilled'}, {'name': 'Green Creme de Menthe', 'measure': '1 tsp'}], 31
[{'name': 'Gin', 'measure': '2 oz'}, {'name': 'Grand Marnier', 'measure': '1/2 oz'}, {'name': 'Lemon juice', 'measure': '2 tsp'}, {'name': 'Lemon peel', 'measure': '1 twist of'}], 32
[{'name': 'Sweet Vermouth', 'measure': '1 1/2 tsp'}, {'name': 'Gin', 'measure': '1 1/2 oz'}, {'name': 'Bitters', 'measure': '2 dashes'}], 33
[{'name': 'Scotch', 'measure': '1 1/2 oz'}, {'name': 'Sweet Vermouth', 'measure': '1/2 oz'}, {'name': 'Dry Vermouth', 'measure': '1/2 oz'}, {'name': 'Bitters', 'measure': '2 dashes'}], 34
[{'name': 'Light rum', 'measure': '1 1/2 oz'}, {'name': 'Triple sec', 'measure': '1 tblsp'}, {'name': 'Banana', 'measure': '1'}, {'name': 'Lime juice', 'measure': '1 1/2 oz'}, {'name': 'Sugar', 'measure': '1 tsp'}, {'name': 'Cherry', 'measure': '1'}], 35
[{'name': 'Brandy', 'measure': '3/4 oz'}, {'name': 'Gin', 'measure': '3/4 oz'}, {'name': 'Dry Vermouth', 'measure': '3/4 oz'}, {'name': 'Carbonated water', 'measure': ''}, {'name': 'Lemon peel', 'measure': ''}], 36
[{'name': 'Coffee liqueur', 'measure': '3/4 oz'}, {'name': 'Vodka', 'measure': '1 1/2 oz'}], 37
[{'name': 'Sweet Vermouth', 'measure': '1 oz'}, {'name': 'Sloe gin', 'measure': '1 1/2 oz'}, {'name': 'Lemon peel', 'measure': '1 twist of'}], 38
[{'name': 'Tequila', 'measure': '1 oz'}, {'name': 'Tomato juice', 'measure': '2 oz'}, {'name': 'Lemon juice', 'measure': '1 dash'}, {'name': 'Tabasco sauce', 'measure': '1 dash'}, {'name': 'Celery salt', 'measure': '1 dash'}, {'name': 'Lemon', 'measure': '1 slice'}], 39
[{'name': 'Vodka', 'measure': '1 1/2 oz'}, {'name': 'Tomato juice', 'measure': '3 oz'}, {'name': 'Lemon juice', 'measure': '1 dash'}, {'name': 'Worcestershire sauce', 'measure': '1/2 tsp'}, {'name': 'Tabasco sauce', 'measure': '2-3 drops'}, {'name': 'Lime', 'measure': '1 wedge'}], 40
[{'name': 'Vodka', 'measure': '1 oz'}, {'name': 'Blue Curacao', 'measure': '1 oz'}, {'name': 'Lemonade', 'measure': ''}, {'name': 'Cherry', 'measure': ''}], 41
[{'name': 'Tequila', 'measure': '1 1/2 oz'}, {'name': 'Blue Curacao', 'measure': '1 oz'}, {'name': 'Lime juice', 'measure': '1 oz'}, {'name': 'Salt', 'measure': 'Coarse'}], 42
[{'name': 'Añejo rum', 'measure': '1 1/2 oz'}, {'name': 'Tia maria', 'measure': '1/2 oz'}, {'name': 'Vodka', 'measure': '1/2 oz'}, {'name': 'Orange juice', 'measure': '1 oz'}, {'name': 'Lemon juice', 'measure': '1 tsp'}], 43
[{'name': 'Gin', 'measure': '1 1/2 oz'}, {'name': 'Triple sec', 'measure': '1/2 oz'}, {'name': 'Blue Curacao', 'measure': '1/2 oz'}, {'name': 'Bitters', 'measure': '2 dashes'}, {'name': 'Maraschino cherry', 'measure': '1'}, {'name': 'Lemon peel', 'measure': '1 twist of'}], 44
[{'name': 'Sweet Vermouth', 'measure': '1 1/2 oz'}, {'name': 'Scotch', 'measure': '1 1/2 oz'}, {'name': 'Benedictine', 'measure': '1 1/4 tsp'}, {'name': 'Lemon peel', 'measure': '1 twist of'}], 45
[{'name': 'Gin', 'measure': '2 oz'}, {'name': 'Dry Vermouth', 'measure': '1/2 oz'}, {'name': 'Bitters', 'measure': '2 dashes'}, {'name': 'Maraschino liqueur', 'measure': '1/2 tsp'}, {'name': 'Maraschino cherry', 'measure': '1'}], 46
